Id;Costes (€);Inicio Real;Descripción;Nombre Centro;Tipo Trabajo;Equipo;Desc. Equipo;Desc. Estado;Urgencia;Especialidad;Contratista;Personal;Sector;Familia;Fecha cierre;Factura;Estado;Contrato;CCAA;Centro de Servicio;Fecha Planificada;Tipo de Trabajo
22136;301,45;01/08/2025;Revision MENSUAL CLIMATIZACION  (>70 kW);GIRONA;PRV;229AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;CLE01;0;FH1701;AAC;19/08/2025;42-01-00001125F;90;7;Cataluña;229;01/08/2025;PRV
22135;301,45;01/08/2025;Revision BIMESTRAL CLIMATIZACION (<70 kW);CERVERA;PRV;234AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;CLE01;0;FN2502;AAC;01/10/2025;42-01-00001825F;90;7;Cataluña;234;01/08/2025;PRV
22134;50,24;01/08/2025;Revision MENSUAL Autocontrol Temp Calidad Agua;PINEDA DE MAR;PRV;200DDD;DDD y Legionella;Facturada;No Urgente;Sin Asignar;CLE01;0;BB0812;DDD;01/10/2025;42-01-00001825F;90;7;Cataluña;200;01/08/2025;PRV
22133;50,24;01/08/2025;Revision MENSUAL Autocontrol Temp Calidad Agua;VILAFRANCA DEL PENEDES;PRV;227DDD;DDD y Legionella;Facturada;No Urgente;Sin Asignar;CLE01;0;PD0833;DDD;27/08/2025;42-01-00001125F;90;7;Cataluña;227;01/08/2025;PRV
22132;54,58;08/08/2025;Revision MENSUAL Autocontrol Temp Calidad Agua;MERCAMADRID;PRV;765DDD;DDD y Legionella;Facturada;No Urgente;Sin Asignar;ASIME;0;CO2825;DDD;08/08/2025;FCTASM2501250;90;34;Comunidad de Madrid;765;01/08/2025;PRV
22131;54,58;01/08/2025;Revision MENSUAL Autocontrol Temp Calidad Agua;GETAFE;PRV;766DDD;DDD y Legionella;Facturada;No Urgente;Sin Asignar;ASIME;0;CP2814;DDD;01/08/2025;FCTASM2501250;90;34;Comunidad de Madrid;766;01/08/2025;PRV
22128;;01/08/2025;Limpieza TRIMESTRAL RED de SANEAMIENTO;BARCELONA - SAGRERA;PRV;218SAN;Saneamiento;Facturada;No Urgente;Sin Asignar;NWC;0;BS0802;SAN;10/10/2025;;90;52;Cataluña;218;01/08/2025;PRV
22127;109,43;26/08/2025;Revision TRIMESTRAL PCI;TELDE;PRV;104PCI;PCI;Facturada;No Urgente;Sin Asignar;JOM04;0;EI3506;PCI;26/08/2025;6051388_EMIT-;90;9;Canarias;104;01/08/2025;PRV
22124;109,43;01/10/2025;Revision TRIMESTRAL PCI;MATARO;PRV;225PCI;PCI;Validada Gestor;No Urgente;Sin Asignar;JOM01;0;BY0828;PCI;14/10/2025;;80;9;Cataluña;225;01/08/2025;PRV
22123;375;01/08/2025;Revision SEMESTRAL PUERTAS AUTOMATICAS;VITORIA;PRV;900OBC;Reparaciones Generales [Obra Civil];Facturada;No Urgente;Sin Asignar;VEE01;0;JB0102;OBC;03/09/2025;FVR202518027251;90;53;País Vasco;900;01/08/2025;PRV
